Round,Accuracy (%),Loss
1,85.1,0.5795832276344299
2,84.5,0.5865321904420853
3,83.3,0.5835036486387253
4,86.6,0.5627398788928986
5,87.6,0.5433448851108551
6,90.1,0.52333103120327
7,90.7,0.5085799098014832
8,91.4,0.48888662457466125
9,87.5,0.5147121846675873
10,88.6,0.5041656047105789
11,90.6,0.46902022510766983
12,92.4,0.465750977396965
13,93.4,0.4273741915822029
14,92.6,0.4366484060883522
15,91.8,0.45656874030828476
16,82.9,0.47741368412971497
17,79.2,0.4913153573870659
18,84.3,0.4474285989999771
19,82.2,0.4557780846953392
20,78.9,0.4776585027575493
21,76.9,0.48057783395051956
22,76.3,0.47802650928497314
23,78.1,0.4469781816005707
24,76.2,0.4500497058033943
25,80.4,0.4280624985694885
26,76.4,0.4402720183134079
27,78.6,0.4290648624300957
28,81.3,0.43005017936229706
29,77.6,0.4384751245379448
30,84.2,0.39818474650382996
31,82.8,0.41100309789180756
32,80.7,0.42102204263210297
33,82.1,0.41219808906316757
34,78.7,0.4239235147833824
35,83.9,0.38852347433567047
36,77.6,0.4383668452501297
37,76.2,0.44565338641405106
38,78.3,0.41662485897541046
39,84.7,0.37073735147714615
40,84.0,0.3617648482322693
41,79.4,0.3838815838098526
42,78.6,0.4036617577075958
43,79.1,0.3994734138250351
44,89.0,0.3231565058231354
45,89.8,0.32358384877443314
46,91.0,0.3135610446333885
47,83.6,0.38467705249786377
48,85.3,0.36964094638824463
49,88.1,0.3427398055791855
50,89.9,0.3191980794072151
51,90.7,0.3248280957341194
52,90.3,0.32242073863744736
53,89.7,0.3212681859731674
54,85.7,0.37053266912698746
55,87.0,0.3653018921613693
56,85.5,0.3763102665543556
57,85.2,0.3669395446777344
58,81.7,0.40746812522411346
59,84.6,0.3831632286310196
60,85.3,0.38223639130592346
61,85.9,0.3819761276245117
62,78.9,0.46691057085990906
63,83.1,0.4388849288225174
64,86.4,0.4044399634003639
65,82.0,0.43752771615982056
66,79.8,0.4644738659262657
67,78.8,0.48561444133520126
68,76.8,0.5263935551047325
69,80.4,0.46451060473918915
70,75.3,0.5396345257759094
71,76.8,0.499514102935791
72,75.0,0.5193349719047546
73,72.1,0.5496847704052925
74,73.0,0.5462844595313072
75,75.5,0.5346644669771194
76,78.7,0.4877733960747719
77,73.7,0.5342365801334381
78,76.0,0.5035008788108826
79,79.0,0.5014318749308586
80,85.4,0.41448841243982315
81,84.7,0.41942048817873
82,88.2,0.34469466656446457
83,88.0,0.36722075939178467
84,85.9,0.4189712256193161
85,85.5,0.42499393224716187
86,82.7,0.46484310925006866
87,82.9,0.4468819797039032
88,87.6,0.36753829568624496
89,86.6,0.38613852113485336
90,83.7,0.44424473494291306
91,82.8,0.44599562883377075
92,82.9,0.46131670475006104
93,82.2,0.5353621244430542
94,81.8,0.5338673368096352
95,74.5,0.7071112990379333
96,75.0,0.663231298327446
97,75.7,0.6470743864774704
98,71.1,0.7606132179498672
99,70.2,0.7844579815864563
100,68.3,0.8529330044984818
