Round,Accuracy (%),Loss
1,41.6,0.6997447833418846
2,58.4,0.6860530450940132
3,58.4,0.6803729385137558
4,58.4,0.6767352893948555
5,58.4,0.6765931397676468
6,58.4,0.6738382130861282
7,58.3,0.6710701808333397
8,58.7,0.6684564650058746
9,58.9,0.6630556806921959
10,60.0,0.6592434421181679
11,60.0,0.6510372683405876
12,62.8,0.6416008844971657
13,71.6,0.630919948220253
14,75.5,0.6162395030260086
15,78.8,0.600408524274826
16,78.7,0.5805462375283241
17,79.7,0.5624989718198776
18,79.7,0.5444133952260017
19,80.2,0.5253503918647766
20,81.0,0.5101116076111794
21,80.7,0.4968946613371372
22,80.8,0.4859798289835453
23,80.7,0.47655700892210007
24,80.7,0.4684057869017124
25,81.7,0.46114494279026985
26,81.1,0.45550621300935745
27,82.0,0.44855858385562897
28,81.9,0.4438062533736229
29,82.1,0.4400351606309414
30,83.1,0.43436025455594063
31,82.7,0.4308364912867546
32,83.1,0.4249054826796055
33,83.0,0.4221464693546295
34,83.6,0.41533148661255836
35,83.8,0.4104347564280033
36,83.8,0.4060954563319683
37,84.0,0.40151337906718254
38,84.2,0.3963967449963093
39,84.3,0.3918745182454586
40,84.5,0.3871002811938524
41,84.6,0.38043346628546715
42,84.6,0.37613174691796303
43,84.6,0.3704219814389944
44,84.8,0.3622828871011734
45,84.9,0.35692416317760944
46,85.0,0.3491155132651329
47,85.3,0.34419262781739235
48,85.6,0.3383927661925554
49,85.7,0.33009300008416176
50,86.4,0.3243541531264782
51,86.3,0.318308362737298
52,87.0,0.31420155987143517
53,87.0,0.30881089717149734
54,87.4,0.3029722459614277
55,87.6,0.2990715950727463
56,87.8,0.29580365493893623
57,88.1,0.2904101386666298
58,88.8,0.28655710630118847
59,88.8,0.28262801095843315
60,89.0,0.27920648641884327
61,89.3,0.2762930244207382
62,89.8,0.2720431014895439
63,89.5,0.2687914911657572
64,89.9,0.26408606581389904
65,90.0,0.26242857798933983
66,90.1,0.2584651093930006
67,90.4,0.25599768571555614
68,90.4,0.253125274553895
69,90.9,0.24860221706330776
70,90.8,0.24864707700908184
71,90.5,0.24496274814009666
72,91.3,0.24212595261633396
73,91.3,0.23863035067915916
74,91.4,0.23597433790564537
75,91.8,0.23570497147738934
76,91.6,0.2311525158584118
77,91.9,0.2326033553108573
78,91.9,0.22745070792734623
79,91.7,0.2294387612491846
80,92.2,0.22411977499723434
81,92.3,0.22419766895473003
82,92.0,0.22561867721378803
83,92.3,0.21796012204140425
84,91.9,0.22338113375008106
85,92.5,0.21491827722638845
86,92.6,0.21635027043521404
87,92.4,0.22270294930785894
88,92.5,0.21197224501520395
89,92.4,0.21825949475169182
90,92.4,0.20894180238246918
91,92.6,0.21054900251328945
92,92.8,0.21042654663324356
93,92.5,0.20651121623814106
94,92.6,0.20905309822410345
95,92.8,0.20589043200016022
96,93.0,0.2055856380611658
97,92.8,0.20315947104245424
98,92.8,0.20210562087595463
99,92.7,0.20200826972723007
100,93.0,0.2012356724590063
